,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
47487,Westminster,Theft,E01035716,8804,6084.2,8.791170868532143e-09,19122640.6,4.348
47448,Westminster,Theft,E01004734,6796,4894.4,1.567184720074141e-08,13168872.64,3.982
47472,Westminster,Theft,E01004763,8124,4225.2,1.7986428615157037e-08,10344557.16,3.257
47450,Westminster,Theft,E01004736,6188,3190.7,4.41773654106986e-08,4426777.18,2.148
35898,Newham,Theft,E01034220,4752,2681.3,6.515715598677706e-08,3400156.53,1.509
47428,Westminster,Theft,E01004714,6668,2034.6,9.05332227619216e-08,1598992.14,1.211
47449,Westminster,Theft,E01004735,8176,1832.0,1.30493628545953e-07,1378213.6,1.152
47470,Westminster,Theft,E01004761,4868,1492.1,1.708123516778274e-07,838709.41,0.872
9094,Camden,Theft,E01000914,5608,1336.7,2.6722335019781497e-07,568765.85,0.664
18019,Hackney,Theft,E01033708,7532,1335.2,2.792624978699637e-07,612723.28,0.652
47473,Westminster,Theft,E01004765,7448,1308.4,3.3484992893446476e-07,546911.2,0.653
47471,Westminster,Theft,E01004762,6316,1307.1,2.7770522967787504e-07,710800.98,0.833
9045,Camden,Theft,E01000863,5916,1288.9,3.2552910857574086e-07,563120.41,0.658
9037,Camden,Theft,E01000855,5308,1280.6,2.2649901985051974e-07,752480.56,0.897
9099,Camden,Theft,E01000919,5836,1279.1,1.8397512362851425e-07,913661.13,0.99
19186,Hammersmith and Fulham,Theft,E01001943,8900,1238.6,4.2517941130861966e-07,405269.92,0.474
9034,Camden,Theft,E01000850,5644,1007.9,4.627902380763569e-07,392677.84,0.578
29570,Kingston upon Thames,Theft,E01002968,11748,996.1,7.104817220676442e-07,222030.69,0.345
35878,Newham,Theft,E01034200,6292,985.2,7.884593215413665e-07,240093.24,0.357
28625,Kensington and Chelsea,Theft,E01002819,4424,981.8,4.5979687448642123e-07,440239.12,0.636
40213,Southwark,Theft,E01033884,4332,920.0,4.956521738268431e-07,333040.0,0.547
20483,Haringey,Theft,E01002026,7120,901.6,7.818883042908115e-07,228194.96,0.395
9154,Camden,Theft,E01035711,9600,878.0,7.289293849658314e-07,253390.8,0.439
18018,Hackney,Theft,E01033706,5708,833.3,6.650363102011194e-07,297738.09,0.511
13119,Ealing,Theft,E01034030,7336,815.9,9.99033105789224e-07,166525.19,0.308
23331,Havering,Theft,E01032741,5936,789.1,8.358326645453093e-07,191435.66,0.372
40058,Southwark,Theft,E01003929,7924,786.5,7.750012226613039e-07,245152.05,0.451
41460,Sutton,Theft,E01034156,5412,735.4,1.291098292490489e-06,152301.34,0.322
9098,Camden,Theft,E01000918,7220,732.7,8.077020320519881e-07,237468.07,0.485
31069,Lambeth,Theft,E01003047,7192,716.1,9.38625237721038e-07,154820.82,0.33
26384,Hounslow,Theft,E01033083,8712,682.4,1.5019653810287086e-06,110412.32,0.252
11154,Croydon,Theft,E01034145,5320,629.3,1.3418789840823149e-06,134166.76,0.329
27657,Islington,Theft,E01002794,8112,626.2,1.2106848306906357e-06,143587.66,0.313
2729,Barnet,Theft,E01000307,6580,626.0,1.181031697916421e-06,147986.4,0.367
18012,Hackney,Theft,E01033699,5636,623.4,1.5587490190539124e-06,125802.12,0.308
28624,Kensington and Chelsea,Theft,E01002818,5604,611.4,7.834058864848818e-07,169724.64,0.417
27683,Islington,Theft,E01035652,5084,602.7,1.454374853730794e-06,104267.1,0.247
37405,Redbridge,Theft,E01003689,8920,599.7,1.729546942981761e-06,111184.38,0.235
31035,Lambeth,Theft,E01003013,7736,594.2,1.6908033065687624e-06,111887.86,0.292
47445,Westminster,Theft,E01004731,7984,592.7,1.1132692937269642e-06,176387.52,0.427
895,Barking and Dagenham,Theft,E01034473,5176,590.1,1.9491988186654452e-06,88160.94,0.232
31209,Lambeth,Theft,E01032582,9124,558.7,1.3385875285438397e-06,125260.54,0.306
47382,Westminster,Theft,E01004658,6192,555.7,1.1981400964558852e-06,135424.09,0.291
35762,Newham,Theft,E01003521,8748,555.4,1.693635508800015e-06,116522.92,0.295
27572,Islington,Theft,E01002704,9364,554.4,1.6890331904260929e-06,103118.4,0.289
11152,Croydon,Theft,E01034143,5244,545.4,1.629654491638554e-06,99044.64,0.258
47477,Westminster,Theft,E01033594,6056,534.4,1.9207348012226367e-06,101215.36,0.295
16545,Greenwich,Theft,E01034188,5672,522.9,7.91766300624502e-07,152007.03,0.45
38620,Richmond upon Thames,Theft,E01003876,7508,522.6,2.5204611222942428e-06,70551.0,0.21
27564,Islington,Theft,E01002696,7152,522.4,1.9841534040743944e-06,88703.52,0.25
47461,Westminster,Theft,E01004750,6536,519.7,1.7713361163881476e-06,106330.62,0.319
27591,Islington,Theft,E01002724,7772,516.2,1.520826240928475e-06,106182.34,0.293
28626,Kensington and Chelsea,Theft,E01002821,4528,514.4,1.5442961983581752e-06,109001.36,0.331
11159,Croydon,Theft,E01034150,5248,513.7,1.5478908226042263e-06,132123.64,0.244
9124,Camden,Theft,E01000947,6624,508.3,1.7851608507848827e-06,107200.47,0.319
31057,Lambeth,Theft,E01003035,6684,507.0,1.3591166958158462e-06,128828.7,0.375
47489,Westminster,Theft,E01035718,10636,500.4,1.142741720719388e-06,145416.24,0.451
19144,Hammersmith and Fulham,Theft,E01001899,6544,496.7,2.439806425563011e-06,67153.84,0.188
47410,Westminster,Theft,E01004695,4224,488.2,2.2768925578755807e-06,95247.82,0.292
31083,Lambeth,Theft,E01003061,5308,471.2,6.868814442414306e-07,180281.12,0.585
42949,Tower Hamlets,Theft,E01032771,6160,469.3,2.050926910674684e-06,75979.67,0.247
40067,Southwark,Theft,E01003939,7848,468.4,2.094363793298885e-06,92415.32,0.297
28704,Kensington and Chelsea,Theft,E01002902,4940,465.7,1.3599599178469428e-06,121920.26,0.345
46032,Wandsworth,Theft,E01004525,7732,465.6,2.863194693600044e-06,63042.24,0.187
7590,Bromley,Theft,E01000676,8184,451.0,2.160278744741347e-06,113471.6,0.364
42928,Tower Hamlets,Theft,E01004307,9540,447.3,2.6330824443733227e-06,77606.55,0.263
35883,Newham,Theft,E01034205,6260,446.4,3.0485429338144958e-06,65040.48,0.225
7759,Bromley,Theft,E01034386,4896,444.1,2.0801026435801927e-06,84689.87,0.258
47381,Westminster,Theft,E01004657,4924,439.5,1.5347452732009576e-06,99195.15,0.338
28630,Kensington and Chelsea,Theft,E01002826,5124,439.2,2.0114942534515786e-06,83404.08,0.286
9120,Camden,Theft,E01000942,3988,439.0,2.329303193910957e-06,82224.7,0.292
47431,Westminster,Theft,E01004717,5096,435.5,2.1275440986171156e-06,71204.25,0.254
42976,Tower Hamlets,Theft,E01035669,5388,434.5,2.339709491702348e-06,71996.65,0.256
9035,Camden,Theft,E01000851,5888,431.9,2.726557070487619e-06,74416.37,0.261
21794,Harrow,Theft,E01002129,10764,415.5,3.364433404332859e-06,56798.85,0.197
32932,Lewisham,Theft,E01033327,8676,402.0,3.3203214694074695e-06,53224.8,0.191
44458,Waltham Forest,Theft,E01004455,7196,401.3,1.6010465977567673e-06,103575.53,0.356
46058,Wandsworth,Theft,E01004551,6204,399.2,3.4535738110193223e-06,59919.92,0.183
44402,Waltham Forest,Theft,E01004397,11584,399.0,4.333221115906095e-06,43890.0,0.161
24888,Hillingdon,Theft,E01034602,5432,398.8,2.7797678753723765e-06,57865.88,0.222
46161,Wandsworth,Theft,E01035495,5328,381.4,3.174905848960776e-06,58087.22,0.217
47414,Westminster,Theft,E01004699,6980,380.0,3.673684206813961e-06,55328.0,0.187
19143,Hammersmith and Fulham,Theft,E01001898,8400,372.1,3.960452050591179e-06,42865.92,0.165
9040,Camden,Theft,E01000858,7968,370.8,2.215327129758679e-06,91476.36,0.268
23296,Havering,Theft,E01002356,8428,368.7,4.5717385509768595e-06,44059.65,0.161
40099,Southwark,Theft,E01003981,6056,365.6,3.312910279505403e-06,62846.64,0.201
27578,Islington,Theft,E01002711,8208,363.8,2.9686640998488557e-06,58208.0,0.249
40203,Southwark,Theft,E01033874,4572,363.1,1.8248655908023153e-06,73745.61,0.273
28637,Kensington and Chelsea,Theft,E01002833,4864,362.8,3.528114663726571e-06,55907.48,0.216
28662,Kensington and Chelsea,Theft,E01002859,4956,361.9,2.7947736190608526e-06,59062.08,0.239
42905,Tower Hamlets,Theft,E01004277,6312,357.7,4.7692086914631494e-06,40133.94,0.168
28692,Kensington and Chelsea,Theft,E01002889,6264,355.8,4.758215219165653e-06,37536.9,0.16
47447,Westminster,Theft,E01004733,8464,353.4,2.721613414235941e-06,70998.06,0.304
32941,Lewisham,Theft,E01034394,4992,352.1,5.4529962979553606e-06,37815.54,0.164
16518,Greenwich,Theft,E01033735,5080,350.0,3.922779920356584e-06,43855.0,0.171
