,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47680,Westminster,E01035716,Theft,8804,6084.2,3142.0,1.94
47294,Westminster,E01004734,Theft,6796,4894.4,2689.6,1.82
47532,Westminster,E01004763,Theft,8124,4225.2,2447.3,1.73
47314,Westminster,E01004736,Theft,6188,3190.7,1386.4,2.3
36177,Newham,E01034220,Theft,4752,2681.3,1267.1,2.12
47100,Westminster,E01004714,Theft,6668,2034.6,784.9,2.59
47304,Westminster,E01004735,Theft,8176,1832.0,751.3,2.44
47512,Westminster,E01004761,Theft,4868,1492.1,561.1,2.66
8818,Camden,E01000914,Theft,5608,1336.7,424.5,3.15
18161,Hackney,E01033708,Theft,7532,1335.2,457.9,2.92
47542,Westminster,E01004765,Theft,7448,1308.4,417.0,3.14
47522,Westminster,E01004762,Theft,6316,1307.1,542.8,2.41
8350,Camden,E01000863,Theft,5916,1288.9,435.9,2.96
24109,Hillingdon,E01002444,Theft,7612,1280.6,383.0,3.34
8271,Camden,E01000855,Theft,5308,1280.6,586.6,2.18
8869,Camden,E01000919,Theft,5836,1279.1,713.3,1.79
19198,Hammersmith and Fulham,E01001943,Theft,8900,1238.6,326.2,3.8
8241,Camden,E01000850,Theft,5644,1007.9,388.6,2.59
29391,Kingston upon Thames,E01002968,Theft,11748,996.1,221.9,4.49
35981,Newham,E01034200,Theft,6292,985.2,242.7,4.06
28015,Kensington and Chelsea,E01002819,Theft,4424,981.8,447.4,2.19
40548,Southwark,E01033884,Theft,4332,920.0,361.0,2.55
20039,Haringey,E01002026,Theft,7120,901.6,252.1,3.58
9403,Camden,E01035711,Theft,9600,878.0,287.6,3.05
18151,Hackney,E01033706,Theft,5708,833.3,356.3,2.34
13508,Ealing,E01034030,Theft,7336,815.9,203.1,4.02
23584,Havering,E01032741,Theft,5936,789.1,241.6,3.27
39053,Southwark,E01003929,Theft,7924,786.5,310.7,2.53
41704,Sutton,E01034156,Theft,5412,735.4,206.1,3.57
8859,Camden,E01000918,Theft,7220,732.7,323.1,2.27
30150,Lambeth,E01003047,Theft,7192,716.1,215.2,3.33
26540,Hounslow,E01033083,Theft,8712,682.4,160.8,4.24
11549,Croydon,E01034145,Theft,5320,629.3,212.2,2.97
27641,Islington,E01002794,Theft,8112,626.2,228.3,2.74
2896,Barnet,E01000307,Theft,6580,626.0,235.4,2.66
18091,Hackney,E01033699,Theft,5636,623.4,200.8,3.1
28005,Kensington and Chelsea,E01002818,Theft,5604,611.4,276.6,2.21
27897,Islington,E01035652,Theft,5084,602.7,172.0,3.5
36756,Redbridge,E01003689,Theft,8920,599.7,184.4,3.25
29822,Lambeth,E01003013,Theft,7736,594.2,187.3,3.17
47264,Westminster,E01004731,Theft,7984,592.7,296.6,2.0
1069,Barking and Dagenham,E01034473,Theft,5176,590.1,148.4,3.98
31518,Lambeth,E01032582,Theft,9124,558.7,223.2,2.5
46651,Westminster,E01004658,Theft,6192,555.7,242.7,2.29
34848,Newham,E01003521,Theft,8748,555.4,208.8,2.66
26805,Islington,E01002704,Theft,9364,554.4,185.0,3.0
11529,Croydon,E01034143,Theft,5244,545.4,180.6,3.02
47582,Westminster,E01033594,Theft,6056,534.4,188.4,2.84
16796,Greenwich,E01034188,Theft,5672,522.9,289.7,1.8
38562,Richmond upon Thames,E01003876,Theft,7508,522.6,134.0,3.9
26728,Islington,E01002696,Theft,7152,522.4,168.8,3.09
47424,Westminster,E01004750,Theft,6536,519.7,203.6,2.55
26994,Islington,E01002724,Theft,7772,516.2,204.7,2.52
28025,Kensington and Chelsea,E01002821,Theft,4528,514.4,210.9,2.44
11597,Croydon,E01034150,Theft,5248,513.7,256.2,2.01
9115,Camden,E01000947,Theft,6624,508.3,209.9,2.42
30034,Lambeth,E01003035,Theft,6684,507.0,253.1,2.0
47700,Westminster,E01035718,Theft,10636,500.4,289.6,1.73
18801,Hammersmith and Fulham,E01001899,Theft,6544,496.7,134.2,3.7
46926,Westminster,E01004695,Theft,4224,488.2,194.1,2.52
30289,Lambeth,E01003061,Theft,5308,471.2,381.6,1.23
42739,Tower Hamlets,E01032771,Theft,6160,469.3,160.9,2.92
39141,Southwark,E01003939,Theft,7848,468.4,196.3,2.39
28781,Kensington and Chelsea,E01002902,Theft,4940,465.7,260.8,1.79
45270,Wandsworth,E01004525,Theft,7732,465.6,134.4,3.46
6598,Bromley,E01000676,Theft,8184,451.0,250.6,1.8
42529,Tower Hamlets,E01004307,Theft,9540,447.3,172.5,2.59
36030,Newham,E01034205,Theft,6260,446.4,144.7,3.09
8155,Bromley,E01034386,Theft,4896,444.1,189.7,2.34
46641,Westminster,E01004657,Theft,4924,439.5,224.7,1.96
28062,Kensington and Chelsea,E01002826,Theft,5124,439.2,188.9,2.33
9075,Camden,E01000942,Theft,3988,439.0,186.3,2.36
47129,Westminster,E01004717,Theft,5096,435.5,162.5,2.68
42998,Tower Hamlets,E01035669,Theft,5388,434.5,164.7,2.64
8251,Camden,E01000851,Theft,5888,431.9,171.3,2.52
21066,Harrow,E01002129,Theft,10764,415.5,135.7,3.06
33194,Lewisham,E01033327,Theft,8676,402.0,131.4,3.06
44581,Waltham Forest,E01004455,Theft,7196,401.3,257.1,1.56
45521,Wandsworth,E01004551,Theft,6204,399.2,149.1,2.68
44033,Waltham Forest,E01004397,Theft,11584,399.0,109.0,3.66
25094,Hillingdon,E01034602,Theft,5432,398.8,144.1,2.77
46496,Wandsworth,E01035495,Theft,5328,381.4,151.3,2.52
46965,Westminster,E01004699,Theft,6980,380.0,144.6,2.63
18791,Hammersmith and Fulham,E01001898,Theft,8400,372.1,114.2,3.26
8300,Camden,E01000858,Theft,7968,370.8,245.7,1.51
23260,Havering,E01002356,Theft,8428,368.7,118.5,3.11
39449,Southwark,E01003981,Theft,6056,365.6,170.9,2.14
26864,Islington,E01002711,Theft,8208,363.8,159.0,2.29
40449,Southwark,E01033874,Theft,4572,363.1,202.1,1.8
28131,Kensington and Chelsea,E01002833,Theft,4864,362.8,153.1,2.37
28376,Kensington and Chelsea,E01002859,Theft,4956,361.9,162.2,2.23
42305,Tower Hamlets,E01004277,Theft,6312,357.7,111.2,3.22
28668,Kensington and Chelsea,E01002889,Theft,6264,355.8,104.5,3.4
47284,Westminster,E01004733,Theft,8464,353.4,199.9,1.77
33280,Lewisham,E01034394,Theft,4992,352.1,106.4,3.31
16531,Greenwich,E01033735,Theft,5080,350.0,124.3,2.82
30229,Lambeth,E01003055,Theft,6472,346.2,124.2,2.79
39091,Southwark,E01003934,Theft,7992,345.7,172.8,2.0
17291,Hackney,E01001760,Theft,7700,343.2,121.4,2.83
40202,Southwark,E01004067,Theft,8848,343.0,96.4,3.56
37624,Redbridge,E01003783,Theft,10196,341.6,142.1,2.4
47404,Westminster,E01004748,Theft,4936,341.3,321.5,1.06
34245,Merton,E01003456,Theft,6440,339.0,120.3,2.82
46023,Wandsworth,E01004609,Theft,8776,332.5,103.8,3.2
9373,Camden,E01035708,Theft,7720,331.9,259.1,1.28
28151,Kensington and Chelsea,E01002835,Theft,5616,330.6,129.3,2.56
47080,Westminster,E01004712,Theft,5976,330.3,170.4,1.94
9184,Camden,E01000956,Theft,6060,324.4,136.5,2.38
24660,Hillingdon,E01002505,Theft,7100,316.5,116.0,2.73
18401,Hammersmith and Fulham,E01001857,Theft,6204,316.4,115.0,2.75
41814,Tower Hamlets,E01004208,Theft,7908,315.8,115.4,2.74
40393,Southwark,E01033868,Theft,5592,311.3,169.3,1.84
8145,Bromley,E01034385,Theft,5756,308.9,289.4,1.07
28620,Kensington and Chelsea,E01002884,Theft,5628,307.3,159.0,1.93
